Metrika,Kontrolieris,Vidējais,Std,Mediāna,CI_zem,CI_virs,n
Dziļuma RMSE [m],Fossen PID/SMC,9.518686180249185,0.02364177481810586,9.51826058067267,9.509858196448251,9.52751416405012,30
Dziļuma RMSE [m],PID (pielāgots),2.128331576431376,0.21447987003063965,2.0996553770579074,2.0482434767508555,2.208419676111897,30
Dziļuma RMSE [m],NMPC offset-free (N=12),0.03559595635619659,0.016671416137512596,0.02797475227084526,0.029370747262001368,0.041821165450391815,30
Kursa RMSE [°],Fossen PID/SMC,36.42952880795479,0.03396975551118122,36.42430191106532,36.41684429278274,36.442213323126836,30
Kursa RMSE [°],PID (pielāgots),1.6428474290447383,0.06350877290536991,1.6257489360288178,1.6191328635038966,1.66656199458558,30
Kursa RMSE [°],NMPC offset-free (N=12),0.33855309432615477,0.07799708890602756,0.3469581356308445,0.30942850267937694,0.3676776859729326,30
Miera stāvokļa kursa RMSE [°],Fossen PID/SMC,37.00182233858464,0.04128892302385957,36.99689348174236,36.9864048013474,37.01723987582188,30
Miera stāvokļa kursa RMSE [°],PID (pielāgots),0.8363342030539564,0.04801329725067157,0.8230775594569355,0.8184057432145648,0.8542626628933481,30
Miera stāvokļa kursa RMSE [°],NMPC offset-free (N=12),0.2002308874962741,0.07195127010539935,0.19947780100965073,0.17336384169137836,0.22709793330116984,30
Kursa max|e| [°],Fossen PID/SMC,95.34910047421728,0.22524352974450587,95.37703863284119,95.26499315794563,95.43320779048894,30
Kursa max|e| [°],PID (pielāgots),5.609890564478988,0.31526762319670154,5.574645617354886,5.492167699256199,5.727613429701777,30
Kursa max|e| [°],NMPC offset-free (N=12),1.6484554278444954,0.43660446123421376,1.5242045906958963,1.4854246426836761,1.8114862130053146,30
