time_s,reference_cont_deg,PID (tuned)_cont_deg,NMPC traj. (N=12)_cont_deg,NMPC offset-free (N=12)_cont_deg,PID (tuned)_err_deg,NMPC traj. (N=12)_err_deg,NMPC offset-free (N=12)_err_deg,reference_depth_m,PID (tuned)_depth_m,NMPC traj. (N=12)_depth_m,NMPC offset-free (N=12)_depth_m,PID (tuned)_depth_err_m,NMPC traj. (N=12)_depth_err_m,NMPC offset-free (N=12)_depth_err_m
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
0.060,0.000000,0.000000,0.000002,0.000001,0.000000,0.000002,0.000001,0.000000,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012
0.080,0.000000,0.000001,0.000004,0.000003,0.000001,0.000004,0.000003,0.000000,0.000029,0.000029,0.000029,0.000029,0.000029,0.000029
0.100,0.000000,0.000002,0.000007,0.000006,0.000002,0.000007,0.000006,0.000000,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056
0.120,0.000000,0.000003,0.000012,0.000011,0.000003,0.000012,0.000011,0.000000,0.000094,0.000094,0.000094,0.000094,0.000094,0.000094
0.140,0.000000,0.000005,0.000018,0.000016,0.000005,0.000018,0.000016,0.000000,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146
0.160,0.000000,0.000007,0.000025,0.000023,0.000007,0.000025,0.000023,0.000000,0.000211,0.000211,0.000211,0.000211,0.000211,0.000211
0.180,0.000000,0.000010,0.000034,0.000030,0.000010,0.000034,0.000030,0.000000,0.000291,0.000291,0.000291,0.000291,0.000291,0.000291
0.200,0.000000,0.000011,0.000043,0.000038,0.000011,0.000043,0.000038,0.000000,0.000385,0.000385,0.000385,0.000385,0.000385,0.000385
0.220,0.000000,0.000011,0.000052,0.000046,0.000011,0.000052,0.000046,0.000000,0.000493,0.000494,0.000494,0.000493,0.000494,0.000494
0.240,0.000000,0.000009,0.000060,0.000053,0.000009,0.000060,0.000053,0.000000,0.000616,0.000617,0.000617,0.000616,0.000617,0.000617
0.260,0.000000,0.000004,0.000067,0.000058,0.000004,0.000067,0.000058,0.000000,0.000752,0.000754,0.000754,0.000752,0.000754,0.000754
0.280,0.000000,-0.000007,0.000071,0.000061,-0.000007,0.000071,0.000061,0.000000,0.000900,0.000902,0.000902,0.000900,0.000902,0.000902
0.300,0.000000,-0.000024,0.000071,0.000059,-0.000024,0.000071,0.000059,0.000000,0.001059,0.001062,0.001062,0.001059,0.001062,0.001062
0.320,0.000000,-0.000049,0.000065,0.000052,-0.000049,0.000065,0.000052,0.000000,0.001227,0.001231,0.001231,0.001227,0.001231,0.001231
0.340,0.000000,-0.000084,0.000054,0.000039,-0.000084,0.000054,0.000039,0.000000,0.001404,0.001409,0.001409,0.001404,0.001409,0.001409
0.360,0.000000,-0.000131,0.000034,0.000017,-0.000131,0.000034,0.000017,0.000000,0.001587,0.001594,0.001594,0.001587,0.001594,0.001594
0.380,0.000000,-0.000190,0.000004,-0.000015,-0.000190,0.000004,-0.000015,0.000000,0.001776,0.001785,0.001785,0.001776,0.001785,0.001785
0.400,0.000000,-0.000265,-0.000036,-0.000058,-0.000265,-0.000036,-0.000058,0.000000,0.001970,0.001980,0.001980,0.001970,0.001980,0.001980
0.420,0.000000,-0.000355,-0.000090,-0.000114,-0.000355,-0.000090,-0.000114,0.000000,0.002166,0.002179,0.002179,0.002166,0.002179,0.002179
0.440,0.000000,-0.000464,-0.000157,-0.000183,-0.000464,-0.000157,-0.000183,0.000000,0.002364,0.002379,0.002379,0.002364,0.002379,0.002379
0.460,0.000000,-0.000591,-0.000238,-0.000268,-0.000591,-0.000238,-0.000268,0.000000,0.002562,0.002580,0.002580,0.002562,0.002580,0.002580
0.480,0.000000,-0.000738,-0.000336,-0.000368,-0.000738,-0.000336,-0.000368,0.000000,0.002760,0.002781,0.002781,0.002760,0.002781,0.002781
0.500,0.000000,-0.000905,-0.000450,-0.000485,-0.000905,-0.000450,-0.000485,0.000000,0.002955,0.002980,0.002980,0.002955,0.002980,0.002980
0.520,0.000000,-0.001093,-0.000581,-0.000620,-0.001093,-0.000581,-0.000620,0.000000,0.003147,0.003175,0.003175,0.003147,0.003175,0.003175
0.540,0.000000,-0.001303,-0.000730,-0.000772,-0.001303,-0.000730,-0.000772,0.000000,0.003335,0.003367,0.003367,0.003335,0.003367,0.003367
0.560,0.000000,-0.001533,-0.000896,-0.000941,-0.001533,-0.000896,-0.000941,0.000000,0.003518,0.003555,0.003555,0.003518,0.003555,0.003555
0.580,0.000000,-0.001785,-0.001080,-0.001129,-0.001785,-0.001080,-0.001129,0.000000,0.003696,0.003737,0.003737,0.003696,0.003737,0.003737
0.600,0.000000,-0.002056,-0.001281,-0.001334,-0.002056,-0.001281,-0.001334,0.000000,0.003868,0.003914,0.003914,0.003868,0.003914,0.003914
0.620,0.000000,-0.002346,-0.001498,-0.001555,-0.002346,-0.001498,-0.001555,0.000000,0.004033,0.004084,0.004084,0.004033,0.004084,0.004084
0.640,0.000000,-0.002655,-0.001732,-0.001792,-0.002655,-0.001732,-0.001792,0.000000,0.004192,0.004248,0.004248,0.004192,0.004248,0.004248
0.660,0.000000,-0.002980,-0.001979,-0.002044,-0.002980,-0.001979,-0.002044,0.000000,0.004345,0.004406,0.004406,0.004345,0.004406,0.004406
0.680,0.000000,-0.003321,-0.002241,-0.002310,-0.003321,-0.002241,-0.002310,0.000000,0.004491,0.004557,0.004557,0.004491,0.004557,0.004557
0.700,0.000000,-0.003676,-0.002515,-0.002588,-0.003676,-0.002515,-0.002588,0.000000,0.004630,0.004702,0.004702,0.004630,0.004702,0.004702
0.720,0.000000,-0.004043,-0.002800,-0.002877,-0.004043,-0.002800,-0.002877,0.000000,0.004764,0.004841,0.004841,0.004764,0.004841,0.004841
0.740,0.000000,-0.004422,-0.003095,-0.003177,-0.004422,-0.003095,-0.003177,0.000000,0.004892,0.004975,0.004975,0.004892,0.004975,0.004975
0.760,0.000000,-0.004811,-0.003399,-0.003486,-0.004811,-0.003399,-0.003486,0.000000,0.005016,0.005103,0.005103,0.005016,0.005103,0.005103
0.780,0.000000,-0.005209,-0.003712,-0.003804,-0.005209,-0.003712,-0.003804,0.000000,0.005135,0.005227,0.005227,0.005135,0.005227,0.005227
0.800,0.000000,-0.005614,-0.004032,-0.004128,-0.005614,-0.004032,-0.004128,0.000000,0.005250,0.005347,0.005347,0.005250,0.005347,0.005347
0.820,0.000000,-0.006025,-0.004358,-0.004459,-0.006025,-0.004358,-0.004459,0.000000,0.005363,0.005464,0.005464,0.005363,0.005464,0.005464
0.840,0.000000,-0.006441,-0.004689,-0.004796,-0.006441,-0.004689,-0.004796,0.000000,0.005473,0.005578,0.005578,0.005473,0.005578,0.005578
0.860,0.000000,-0.006862,-0.005025,-0.005137,-0.006862,-0.005025,-0.005137,0.000000,0.005582,0.005690,0.005690,0.005582,0.005690,0.005690
0.880,0.000000,-0.007285,-0.005365,-0.005482,-0.007285,-0.005365,-0.005482,0.000000,0.005690,0.005801,0.005801,0.005690,0.005801,0.005801
0.900,0.000000,-0.007712,-0.005707,-0.005830,-0.007712,-0.005707,-0.005830,0.000000,0.005799,0.005911,0.005911,0.005799,0.005911,0.005911
0.920,0.000000,-0.008140,-0.006053,-0.006180,-0.008140,-0.006053,-0.006180,0.000000,0.005909,0.006022,0.006022,0.005909,0.006022,0.006022
0.940,0.000000,-0.008570,-0.006401,-0.006533,-0.008570,-0.006401,-0.006533,0.000000,0.006021,0.006134,0.006134,0.006021,0.006134,0.006134
0.960,0.000000,-0.009001,-0.006751,-0.006889,-0.009001,-0.006751,-0.006889,0.000000,0.006136,0.006247,0.006247,0.006136,0.006247,0.006247
0.980,0.000000,-0.009432,-0.007104,-0.007246,-0.009432,-0.007104,-0.007246,0.000000,0.006254,0.006363,0.006363,0.006254,0.006363,0.006363
1.000,0.000000,-0.009864,-0.007460,-0.007607,-0.009864,-0.007460,-0.007607,0.000000,0.006377,0.006481,0.006481,0.006377,0.006481,0.006481
1.020,0.000000,-0.010295,-0.007819,-0.007971,-0.010295,-0.007819,-0.007971,0.000000,0.006505,0.006604,0.006604,0.006505,0.006604,0.006604
1.040,0.000000,-0.010726,-0.008180,-0.008337,-0.010726,-0.008180,-0.008337,0.000000,0.006638,0.006730,0.006730,0.006638,0.006730,0.006730
1.060,0.000000,-0.011156,-0.008545,-0.008706,-0.011156,-0.008545,-0.008706,0.000000,0.006779,0.006862,0.006862,0.006779,0.006862,0.006862
1.080,0.000000,-0.011584,-0.008911,-0.009076,-0.011584,-0.008911,-0.009076,0.000000,0.006926,0.006999,0.006999,0.006926,0.006999,0.006999
1.100,0.000000,-0.012011,-0.009281,-0.009450,-0.012011,-0.009281,-0.009450,0.000000,0.007082,0.007141,0.007141,0.007082,0.007141,0.007141
1.120,0.000000,-0.012435,-0.009653,-0.009826,-0.012435,-0.009653,-0.009826,0.000000,0.007246,0.007291,0.007291,0.007246,0.007291,0.007291
1.140,0.000000,-0.012856,-0.010029,-0.010204,-0.012856,-0.010029,-0.010204,0.000000,0.007418,0.007447,0.007447,0.007418,0.007447,0.007447
1.160,0.000000,-0.013272,-0.010407,-0.010584,-0.013272,-0.010407,-0.010584,0.000000,0.007601,0.007611,0.007611,0.007601,0.007611,0.007611
1.180,0.000000,-0.013683,-0.010788,-0.010967,-0.013683,-0.010788,-0.010967,0.000000,0.007793,0.007782,0.007782,0.007793,0.007782,0.007782
1.200,0.000000,-0.014088,-0.011171,-0.011352,-0.014088,-0.011171,-0.011352,0.000000,0.007995,0.007961,0.007961,0.007995,0.007961,0.007961
1.220,0.000000,-0.014485,-0.011558,-0.011740,-0.014485,-0.011558,-0.011740,0.000000,0.008209,0.008149,0.008149,0.008209,0.008149,0.008149
1.240,0.000000,-0.014873,-0.011946,-0.012129,-0.014873,-0.011946,-0.012129,0.000000,0.008434,0.008346,0.008346,0.008434,0.008346,0.008346
1.260,0.000000,-0.015250,-0.012335,-0.012517,-0.015250,-0.012335,-0.012517,0.000000,0.008670,0.008553,0.008553,0.008670,0.008553,0.008553
1.280,0.000000,-0.015614,-0.012724,-0.012905,-0.015614,-0.012724,-0.012905,0.000000,0.008920,0.008770,0.008770,0.008920,0.008770,0.008770
1.300,0.000000,-0.015964,-0.013110,-0.013289,-0.015964,-0.013110,-0.013289,0.000000,0.009182,0.008997,0.008997,0.009182,0.008997,0.008997
1.320,0.000000,-0.016296,-0.013493,-0.013669,-0.016296,-0.013493,-0.013669,0.000000,0.009457,0.009235,0.009235,0.009457,0.009235,0.009235
1.340,0.000000,-0.016610,-0.013872,-0.014044,-0.016610,-0.013872,-0.014044,0.000000,0.009745,0.009485,0.009485,0.009745,0.009485,0.009485
1.360,0.000000,-0.016904,-0.014247,-0.014414,-0.016904,-0.014247,-0.014414,0.000000,0.010047,0.009746,0.009746,0.010047,0.009746,0.009746
