controller,start,end,iae,mae,rmse,max_abs,steady_state
Fossen PID/SMC,0.0,5.0,0.22056307999995617,0.04411261600000001,0.05516666705763545,0.089703,0.08001773999999999
Fossen PID/SMC,5.0,60.0,440.69991559991234,8.01272573818182,8.955102343642347,12.812292999999999,9.126407627272727
Fossen PID/SMC,60.0,120.0,544.9284291598915,9.082140485999998,9.29035235575492,12.245387,8.264786398333332
Fossen PID/SMC,120.0,180.0,679.284328359865,11.321405472666667,11.771441492386966,16.320289000000002,10.486501579999999
Fossen PID/SMC,180.0,260.0,298.69440503994053,3.733680063,4.181289798740891,7.9933830000000015,1.9562157156250002
Fossen PID/SMC,260.0,340.0,983.777000219804,12.297212502749996,14.130638338163777,20.960089,15.7034973525
Fossen PID/SMC,340.0,420.0,569.1349744198868,7.11418718025,7.586410431657785,11.040265999999999,7.073428685624999
Fossen PID/SMC,420.0,500.0,766.2166735798476,9.577708419750001,10.203359906898765,15.710857999999998,7.2011241075
Fossen PID/SMC,500.0,600.0,924.692433079816,9.2469243308,10.355386552719931,16.985966,7.867846214
PID (tuned),0.0,5.0,0.21980923999995625,0.043961848,0.05493591876839778,0.088797,0.07964934
PID (tuned),5.0,60.0,95.29199383998103,1.732581706181818,2.336265586716295,4.729267,0.67766341
PID (tuned),60.0,120.0,45.32592337999099,0.7554320563333334,0.9193303134741494,1.888690999999998,0.5443269525
PID (tuned),120.0,180.0,76.29286159998482,1.2715476933333332,1.7439918651104414,3.746828999999998,0.5263555925000001
PID (tuned),180.0,260.0,3.7302150599992525,0.04662768824999994,0.07259280498883303,0.21739300000000128,0.005731443749999969
PID (tuned),260.0,340.0,150.57970065997003,1.88224625825,2.5147503391731996,4.9984269999999995,0.62402542625
PID (tuned),340.0,420.0,91.48882749998181,1.14361034375,1.4700626497734792,2.836925000000001,0.5034162699999999
PID (tuned),420.0,500.0,93.37231339998145,1.1671539175000003,1.8187831534605816,4.496271,0.23490621062499997
PID (tuned),500.0,600.0,192.62885109996168,1.9262885109999999,2.994699803819465,6.898075000000002,0.29075671950000004
NMPC offset-free (N=12),0.0,5.0,0.2166733199999569,0.043334664,0.05488362694611208,0.095141,0.07290561999999999
NMPC offset-free (N=12),5.0,60.0,1.6141210399996784,0.02934765527272726,0.03678578456626467,0.07704399999999989,0.012424250909090898
NMPC offset-free (N=12),60.0,120.0,1.2650453599997484,0.021084089333333333,0.02433089598842043,0.050094000000001415,0.01342673666666667
NMPC offset-free (N=12),120.0,180.0,1.5591664999996906,0.025986108333333348,0.03309391868350336,0.07791200000000131,0.011341685000000089
NMPC offset-free (N=12),180.0,260.0,0.6731870399998681,0.008414838000000025,0.009232154834652662,0.0200230000000019,0.006991667500000052
NMPC offset-free (N=12),260.0,340.0,1.8026098199996443,0.022532622750000036,0.027415524538010428,0.05255700000000019,0.013251908750000001
NMPC offset-free (N=12),340.0,420.0,2.301634199999543,0.028770427500000015,0.04138668728270604,0.097135999999999,0.005292885625000017
NMPC offset-free (N=12),420.0,500.0,2.2612071399995513,0.028265089250000017,0.036088804428427,0.09625900000000343,0.01722501749999997
NMPC offset-free (N=12),500.0,600.0,4.713005619999066,0.04713005620000004,0.0924438275804881,0.31939599999999757,0.0062847834999999715
