call_index,mission_time_s,nmpc_solve_time_ms,pid50_solve_time_ms,pid5_solve_time_ms
0,0.000,62.4765,0.0230,0.0255
1,0.200,17.7374,0.0216,0.0225
2,0.400,17.5818,0.0211,0.0221
3,0.600,21.6181,0.0211,0.0230
4,0.800,19.7086,0.0211,0.0489
5,1.000,18.2547,0.0211,0.0233
6,1.200,17.3816,0.0211,0.0223
7,1.400,17.0280,0.0213,0.0214
8,1.600,17.6263,0.0298,0.0219
9,1.800,16.1192,0.0219,0.0218
10,2.000,16.0445,0.0210,0.0331
11,2.200,15.9862,0.0301,0.0405
12,2.400,16.1880,0.0344,0.0225
13,2.600,16.8512,0.0341,0.0421
14,2.800,17.1728,0.0339,0.0410
15,3.000,16.3624,0.0359,0.0229
16,3.200,16.2493,0.0355,0.0217
17,3.400,16.1589,0.0344,0.0225
18,3.600,17.8359,0.0339,0.0424
19,3.800,14.6296,0.0365,0.0228
20,4.000,14.6869,0.0338,0.0218
21,4.200,16.7027,0.0340,0.0223
22,4.400,16.0148,0.0335,0.0388
23,4.600,14.9056,0.0338,0.0372
24,4.800,16.3214,0.0339,0.0226
25,5.000,15.4970,0.0333,0.0225
26,5.200,14.2709,0.0250,0.0221
27,5.400,13.3865,0.0391,0.0228
28,5.600,12.9642,0.0226,0.0216
29,5.800,14.4940,0.0207,0.0216
30,6.000,13.6274,0.0212,0.0217
31,6.200,13.3056,0.0206,0.0219
32,6.400,13.8255,0.0207,0.0217
33,6.600,13.4233,0.0207,0.0215
34,6.800,13.8362,0.0215,0.0323
35,7.000,14.1921,0.0208,0.0354
36,7.200,14.0209,0.0216,0.0225
37,7.400,14.2408,0.0216,0.0223
38,7.600,14.8329,0.0227,0.0429
39,7.800,17.3316,0.0218,0.0233
40,8.000,14.5867,0.0222,0.0224
41,8.200,13.5539,0.0217,0.0363
42,8.400,15.1791,0.0212,0.0223
43,8.600,17.8776,0.0217,0.0230
44,8.800,15.8704,0.0211,0.0216
45,9.000,15.0690,0.0396,0.0217
46,9.200,14.3444,0.0329,0.0345
47,9.400,14.0145,0.0277,0.0378
48,9.600,13.5809,0.0210,0.0224
49,9.800,13.6324,0.0209,0.0222
50,10.000,13.2702,0.0211,0.0353
51,10.200,13.3767,0.0240,0.0458
52,10.400,13.3249,0.0215,0.0223
53,10.600,13.4724,0.0315,0.0220
54,10.800,13.7878,0.0362,0.0213
55,11.000,13.0841,0.0363,0.0212
56,11.200,14.1256,0.0364,0.0215
57,11.400,18.4747,0.0315,0.0284
58,11.600,20.1315,0.0212,0.0214
59,11.800,28.5649,0.0210,0.0347
60,12.000,24.3822,0.0213,0.0234
61,12.200,15.1389,0.0216,0.0427
62,12.400,15.3370,0.0210,0.0228
63,12.600,14.0435,0.0222,0.0225
64,12.800,15.7949,0.0260,0.0220
65,13.000,15.9491,0.0227,0.0226
66,13.200,16.0735,0.0348,0.0380
67,13.400,19.6821,0.0210,0.0228
68,13.600,18.7769,0.0212,0.0218
69,13.800,18.0378,0.0219,0.0218
70,14.000,16.1595,0.0213,0.0218
71,14.200,17.4007,0.0213,0.0232
72,14.400,17.1345,0.0211,0.0326
73,14.600,16.0208,0.0210,0.0348
74,14.800,15.8233,0.0215,0.0376
75,15.000,17.7387,0.0287,0.0348
76,15.200,17.9532,0.0409,0.0238
77,15.400,19.6516,0.0215,0.0221
78,15.600,22.3462,0.0208,0.0222
79,15.800,20.9632,0.0213,0.0220
80,16.000,20.0725,0.0207,0.0229
81,16.200,19.9103,0.0207,0.0219
82,16.400,20.1568,0.0208,0.0217
83,16.600,19.2530,0.0208,0.0217
84,16.800,22.8150,0.0208,0.0216
85,17.000,23.4130,0.0208,0.0329
86,17.200,26.2980,0.0299,0.0225
87,17.400,25.3463,0.0336,0.0219
88,17.600,27.0781,0.0213,0.0385
89,17.800,24.9000,0.0210,0.0424
90,18.000,27.2456,0.0209,0.0226
91,18.200,22.3786,0.0213,0.0223
92,18.400,28.8746,0.0208,0.0213
93,18.600,29.2655,0.0208,0.0221
94,18.800,27.5427,0.0208,0.0221
95,19.000,25.8674,0.0214,0.0216
96,19.200,23.9346,0.0210,0.0218
97,19.400,21.8241,0.0286,0.0444
98,19.600,24.7487,0.0356,0.0219
99,19.800,25.2924,0.0268,0.0215
100,20.000,22.5812,0.0219,0.0211
101,20.200,20.4415,0.0216,0.1761
102,20.400,21.4927,0.0218,0.0217
103,20.600,17.7254,0.0218,0.0235
104,20.800,18.3122,0.0212,0.0216
105,21.000,18.7633,0.0213,0.0217
106,21.200,17.8955,0.0224,0.0212
107,21.400,18.8851,0.0245,0.0222
108,21.600,20.8015,0.0255,0.0210
109,21.800,20.3475,0.0232,0.0212
110,22.000,17.9298,0.0215,0.0210
111,22.200,19.0933,0.0218,0.0216
112,22.400,21.2781,0.0213,0.0211
113,22.600,19.1653,0.0218,0.0216
114,22.800,22.0826,0.0212,0.0218
115,23.000,16.2534,0.0214,0.0220
116,23.200,15.8488,0.0210,0.0216
117,23.400,13.7886,0.0258,0.0211
118,23.600,14.4055,0.0290,0.0214
119,23.800,13.3432,0.0239,0.0222
120,24.000,13.9426,0.0216,0.0210
121,24.200,13.6550,0.0216,0.0213
122,24.400,13.5281,0.0211,0.0218
123,24.600,28.3968,0.0220,0.0223
124,24.800,25.2635,0.0211,0.0348
125,25.000,16.4035,0.0211,0.0216
126,25.200,13.7439,0.0216,0.0385
127,25.400,13.9657,0.0242,0.0215
128,25.600,13.5399,0.0250,0.0211
129,25.800,14.0967,0.0367,0.0217
130,26.000,13.6879,0.0208,0.0216
131,26.200,13.8910,0.0240,0.0226
132,26.400,13.9280,0.0209,0.0213
133,26.600,14.8272,0.0210,0.0214
134,26.800,14.6828,0.0211,0.0214
135,27.000,14.7311,0.0208,0.0215
136,27.200,15.1439,0.0208,0.0212
137,27.400,14.4296,0.0213,0.0212
138,27.600,15.6909,0.0316,0.0219
139,27.800,15.2043,0.0239,0.0216
140,28.000,15.0438,0.0239,0.0215
141,28.200,15.9169,0.0216,0.0210
142,28.400,14.8154,0.0213,0.1025
143,28.600,13.7565,0.0208,0.0214
144,28.800,14.8691,0.0209,0.0210
145,29.000,14.2779,0.0213,0.0211
146,29.200,15.0714,0.0207,0.0208
147,29.400,15.6235,0.0208,0.0212
148,29.600,14.8754,0.0214,0.0213
149,29.800,15.6575,0.0281,0.0214
150,30.000,22.5658,0.0330,0.0218
151,30.200,28.4348,0.0219,0.0215
152,30.400,24.6071,0.0220,0.0210
153,30.600,21.8013,0.0216,0.0211
154,30.800,16.5432,0.0217,0.0220
155,31.000,15.7017,0.0215,0.0214
156,31.200,13.8071,0.0212,0.0217
157,31.400,14.6485,0.0217,0.0221
158,31.600,13.6592,0.0222,0.0211
159,31.800,13.7384,0.0279,0.0209
160,32.000,13.8279,0.0272,0.0209
161,32.200,14.8816,0.0290,0.0217
162,32.400,15.1775,0.0210,0.0212
163,32.600,15.7292,0.0209,0.0354
164,32.800,15.4625,0.0214,0.0345
165,33.000,13.2816,0.0209,0.0271
166,33.200,12.7597,0.0209,0.0384
167,33.400,14.1157,0.0212,0.0382
168,33.600,13.7896,0.0208,0.0229
169,33.800,13.2842,0.0258,0.0219
170,34.000,14.4342,0.0296,0.0220
171,34.200,14.5166,0.0252,0.0379
172,34.400,13.5074,0.0213,0.0228
173,34.600,12.7243,0.0209,0.0223
174,34.800,14.3593,0.0209,0.0384
175,35.000,12.8373,0.0213,0.0375
176,35.200,14.4096,0.0210,0.0224
