time_s,reference_heading_deg,reference_heading_continuous_deg,PID_tuned_heading_deg,PID_tuned_heading_continuous_deg,PID_tuned_heading_error_deg,Fossen_PID/SMC_heading_deg,Fossen_PID/SMC_heading_continuous_deg,Fossen_PID/SMC_heading_error_deg,PID_5_Hz_heading_deg,PID_5_Hz_heading_continuous_deg,PID_5_Hz_heading_error_deg,NMPC_offset-free_N12_heading_deg,NMPC_offset-free_N12_heading_continuous_deg,NMPC_offset-free_N12_heading_error_deg,reference_depth_m,PID_tuned_depth_m,PID_tuned_depth_error_m,Fossen_PID/SMC_depth_m,Fossen_PID/SMC_depth_error_m,PID_5_Hz_depth_m,PID_5_Hz_depth_error_m,NMPC_offset-free_N12_depth_m,NMPC_offset-free_N12_depth_error_m
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020,0.000000,0.000000,360.000000,-0.000000,-0.000000,360.000000,-0.000000,-0.000000,360.000000,-0.000000,-0.000000,360.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
0.060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012
0.080,0.000000,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000003,0.000003,0.000003,0.000000,0.000029,0.000029,0.000029,0.000029,0.000029,0.000029,0.000029,0.000029
0.100,0.000000,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000006,0.000006,0.000006,0.000000,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056
0.120,0.000000,0.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000011,0.000011,0.000011,0.000000,0.000094,0.000094,0.000094,0.000094,0.000094,0.000094,0.000094,0.000094
0.140,0.000000,0.000000,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000016,0.000016,0.000016,0.000000,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146
0.160,0.000000,0.000000,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000008,0.000008,0.000008,0.000023,0.000023,0.000023,0.000000,0.000211,0.000211,0.000211,0.000211,0.000211,0.000211,0.000211,0.000211
0.180,0.000000,0.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000030,0.000030,0.000030,0.000000,0.000291,0.000291,0.000291,0.000291,0.000291,0.000291,0.000291,0.000291
0.200,0.000000,0.000000,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000013,0.000013,0.000013,0.000038,0.000038,0.000038,0.000000,0.000385,0.000385,0.000385,0.000385,0.000385,0.000385,0.000385,0.000385
0.220,0.000000,0.000000,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000014,0.000014,0.000014,0.000046,0.000046,0.000046,0.000000,0.000493,0.000493,0.000493,0.000493,0.000494,0.000494,0.000494,0.000494
0.240,0.000000,0.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000014,0.000014,0.000014,0.000053,0.000053,0.000053,0.000000,0.000616,0.000616,0.000616,0.000616,0.000617,0.000617,0.000617,0.000617
0.260,0.000000,0.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000010,0.000010,0.000010,0.000058,0.000058,0.000058,0.000000,0.000752,0.000752,0.000752,0.000752,0.000753,0.000753,0.000754,0.000754
0.280,0.000000,0.000000,359.999993,-0.000007,-0.000007,359.999993,-0.000007,-0.000007,0.000002,0.000002,0.000002,0.000061,0.000061,0.000061,0.000000,0.000900,0.000900,0.000900,0.000900,0.000902,0.000902,0.000902,0.000902
0.300,0.000000,0.000000,359.999976,-0.000024,-0.000024,359.999976,-0.000024,-0.000024,359.999988,-0.000012,-0.000012,0.000059,0.000059,0.000059,0.000000,0.001059,0.001059,0.001059,0.001059,0.001061,0.001061,0.001062,0.001062
0.320,0.000000,0.000000,359.999951,-0.000049,-0.000049,359.999951,-0.000049,-0.000049,359.999966,-0.000034,-0.000034,0.000052,0.000052,0.000052,0.000000,0.001227,0.001227,0.001227,0.001227,0.001230,0.001230,0.001231,0.001231
0.340,0.000000,0.000000,359.999916,-0.000084,-0.000084,359.999917,-0.000083,-0.000083,359.999935,-0.000065,-0.000065,0.000039,0.000039,0.000039,0.000000,0.001404,0.001404,0.001404,0.001404,0.001407,0.001407,0.001409,0.001409
0.360,0.000000,0.000000,359.999869,-0.000131,-0.000131,359.999870,-0.000130,-0.000130,359.999893,-0.000107,-0.000107,0.000017,0.000017,0.000017,0.000000,0.001587,0.001587,0.001587,0.001587,0.001592,0.001592,0.001594,0.001594
0.380,0.000000,0.000000,359.999810,-0.000190,-0.000190,359.999811,-0.000189,-0.000189,359.999839,-0.000161,-0.000161,359.999985,-0.000015,-0.000015,0.000000,0.001776,0.001776,0.001776,0.001776,0.001782,0.001782,0.001785,0.001785
0.400,0.000000,0.000000,359.999735,-0.000265,-0.000265,359.999737,-0.000263,-0.000263,359.999771,-0.000229,-0.000229,359.999942,-0.000058,-0.000058,0.000000,0.001970,0.001970,0.001970,0.001970,0.001976,0.001976,0.001980,0.001980
0.420,0.000000,0.000000,359.999645,-0.000355,-0.000355,359.999647,-0.000353,-0.000353,359.999687,-0.000313,-0.000313,359.999886,-0.000114,-0.000114,0.000000,0.002166,0.002166,0.002166,0.002166,0.002173,0.002173,0.002179,0.002179
0.440,0.000000,0.000000,359.999536,-0.000464,-0.000464,359.999539,-0.000461,-0.000461,359.999586,-0.000414,-0.000414,359.999817,-0.000183,-0.000183,0.000000,0.002364,0.002364,0.002364,0.002364,0.002372,0.002372,0.002379,0.002379
0.460,0.000000,0.000000,359.999409,-0.000591,-0.000591,359.999412,-0.000588,-0.000588,359.999466,-0.000534,-0.000534,359.999732,-0.000268,-0.000268,0.000000,0.002562,0.002562,0.002562,0.002562,0.002572,0.002572,0.002580,0.002580
0.480,0.000000,0.000000,359.999262,-0.000738,-0.000738,359.999265,-0.000735,-0.000735,359.999327,-0.000673,-0.000673,359.999632,-0.000368,-0.000368,0.000000,0.002760,0.002760,0.002760,0.002760,0.002770,0.002770,0.002781,0.002781
0.500,0.000000,0.000000,359.999095,-0.000905,-0.000905,359.999098,-0.000902,-0.000902,359.999168,-0.000832,-0.000832,359.999515,-0.000485,-0.000485,0.000000,0.002955,0.002955,0.002955,0.002955,0.002967,0.002967,0.002980,0.002980
0.520,0.000000,0.000000,359.998907,-0.001093,-0.001093,359.998910,-0.001090,-0.001090,359.998987,-0.001013,-0.001013,359.999380,-0.000620,-0.000620,0.000000,0.003147,0.003147,0.003147,0.003147,0.003160,0.003160,0.003175,0.003175
0.540,0.000000,0.000000,359.998697,-0.001303,-0.001303,359.998700,-0.001300,-0.001300,359.998784,-0.001216,-0.001216,359.999228,-0.000772,-0.000772,0.000000,0.003335,0.003335,0.003335,0.003335,0.003349,0.003349,0.003367,0.003367
0.560,0.000000,0.000000,359.998467,-0.001533,-0.001533,359.998470,-0.001530,-0.001530,359.998560,-0.001440,-0.001440,359.999059,-0.000941,-0.000941,0.000000,0.003518,0.003518,0.003518,0.003518,0.003534,0.003534,0.003555,0.003555
0.580,0.000000,0.000000,359.998215,-0.001785,-0.001785,359.998219,-0.001781,-0.001781,359.998314,-0.001686,-0.001686,359.998871,-0.001129,-0.001129,0.000000,0.003696,0.003696,0.003696,0.003696,0.003713,0.003713,0.003737,0.003737
