scenario,controller,z_rmse_m,z_mae_m,z_iae_m_s,psi_rmse_deg,psi_mae_deg,psi_max_deg,psi_iae_deg_s
s1_standarts,Fossen PID/SMC,9.9751,7.4271,1485.41,12.8866,7.4994,32.7198,1499.88
s1_standarts,PID (tuned),2.1317,1.0319,206.37,0.4104,0.2086,1.2646,41.72
s1_standarts,NMPC offset-free (N=12),0.0248,0.0176,3.52,0.1267,0.0781,0.6426,15.62
s2_Vc0_0,Fossen PID/SMC,9.9320,7.4267,1485.35,12.9050,7.4994,32.7987,1499.88
s2_Vc0_0,PID (tuned),1.7949,0.8681,173.62,0.4209,0.2128,1.3228,42.56
s2_Vc0_0,NMPC offset-free (N=12),0.0204,0.0095,1.91,0.0666,0.0266,0.3232,5.33
s2_Vc0_5,Fossen PID/SMC,9.9953,7.4361,1487.21,12.8831,7.4993,32.7298,1499.87
s2_Vc0_5,PID (tuned),2.3093,1.1154,223.08,0.4046,0.2056,1.2504,41.12
s2_Vc0_5,NMPC offset-free (N=12),0.0409,0.0220,4.41,0.1432,0.0857,0.7820,17.15
s2_Vc1_0,Fossen PID/SMC,10.0202,7.4307,1486.15,12.8805,7.4994,32.6641,1499.88
s2_Vc1_0,PID (tuned),2.7113,1.3131,262.63,0.3980,0.2024,1.2762,40.49
s2_Vc1_0,NMPC offset-free (N=12),0.0755,0.0433,8.67,0.5700,0.3732,2.5850,74.65
s3_kurss90,Fossen PID/SMC,6.8776,4.9694,993.87,24.9119,13.4995,70.0391,2699.90
s3_kurss90,PID (tuned),1.2444,0.5369,107.39,1.1414,0.4393,4.2862,87.87
s3_kurss90,NMPC offset-free (N=12),0.0176,0.0075,1.50,0.2087,0.0710,1.0861,14.19
s3_kurss180,Fossen PID/SMC,6.4749,4.9429,988.59,44.7906,26.9973,107.8033,5399.46
s3_kurss180,PID (tuned),0.5784,0.3474,69.47,1.7870,0.8706,5.1559,174.12
s3_kurss180,NMPC offset-free (N=12),0.0167,0.0115,2.30,0.1888,0.0825,0.8493,16.51
s4_daudzpunkti,Fossen PID/SMC,8.4642,6.8112,2724.46,25.5434,15.6090,70.1736,6243.61
s4_daudzpunkti,PID (tuned),1.8032,0.9440,377.60,1.1566,0.4874,4.5981,194.96
s4_daudzpunkti,NMPC offset-free (N=12),0.0346,0.0218,8.73,0.2202,0.1177,1.5069,47.09
s5_descent,Fossen PID/SMC,17.5774,14.9319,2239.78,0.0071,0.0059,0.0143,0.88
s5_descent,PID (tuned),3.0993,2.0195,302.93,0.0061,0.0034,0.0255,0.52
s5_descent,NMPC offset-free (N=12),0.0230,0.0152,2.28,0.0113,0.0076,0.0649,1.14
s6_kompleksa_trajektorija,PID (tuned),1.9892,1.2482,748.93,1.5238,0.7043,5.4435,422.58
s6_kompleksa_trajektorija,Fossen PID/SMC,9.9106,8.6794,5207.65,33.6218,22.2861,91.5417,13371.63
s6_kompleksa_trajektorija,PID (5 Hz),2.2207,1.3780,826.78,1.5358,0.7112,5.5047,426.70
s6_kompleksa_trajektorija,NMPC offset-free (N=12),0.0475,0.0273,16.41,0.2493,0.1298,1.4350,77.85
